Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
coral Lurker;50;Gorc;6;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker;coral Lurker
Corrosive Spider;50;Gorc;6;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider;Corrosive Spider
Crag Elemental;50;Gorc;6;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental;Crag Elemental
Croak Impaler;50;Lich;6;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler;Croak Impaler
Croak Lancer;50;Lich;6;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer;Croak Lancer
Croak Piercer;50;Lich;6;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer;Croak Piercer
Cyclone Elemental;50;Samael;6;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental;Cyclone Elemental
Darkness Elemental;50;Gorc;6;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental;Darkness Elemental
Deadlyhive Dragon;50;Gorc;6;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon;Deadlyhive Dragon
Delusion Caster;50;Lich;6;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster;Delusion Caster
Demon Hound;50;Lich;6;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound;Demon Hound
Devote Oracle;50;Samael;6;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle;Devote Oracle
Devouring Dragon;50;Lich;6;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon;Devouring Dragon
Devouring Locust;50;Lich;6;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust;Devouring Locust
Diension Imp;50;Lich;6;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp;Diension Imp
Dire Wolf;50;Gorc;6;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf;Dire Wolf
Discord Golem;50;Lich;6;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem;Discord Golem
Discordant Angel;50;Lich;6;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel;Discordant Angel
Dragon Breeder;50;Gorc;6;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder;Dragon Breeder
Dragon Master;50;Gorc;6;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master;Dragon Master
Dragon Tamer;50;Gorc;6;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer;Dragon Tamer
Druid;50;Gorc;6;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid;Druid
Duchess of the Swamp;50;Gorc;6;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp;Duchess of the Swamp
Dunetooth Demon;50;Lich;6;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon;Dunetooth Demon
Dunetooth Devil;50;Lich;6;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil;Dunetooth Devil
Dunetooth Rex;50;Lich;6;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex;Dunetooth Rex
Duoshot Ranger;50;Gorc;6;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger;Duoshot Ranger
Earth Elemental;50;Gorc;6;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental;Earth Elemental
Edge Demon;50;Lich;6;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon;Edge Demon
Elemental Seer;50;Samael;6;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer;Elemental Seer
Elementalist;50;Samael;6;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist;Elementalist
Ember Drake;50;Lich;6;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake;Ember Drake
Enraged Soul Wisp;50;Samael;6;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp;Enraged Soul Wisp
Entity Dragon;50;Gorc;6;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon;Entity Dragon
essence Dragon;50;Gorc;6;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon;essence Dragon
Executioner Hound;50;Lich;6;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound;Executioner Hound
Fallen Angel;50;Lich;6;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel;Fallen Angel
Feather Skypiercer;50;Samael;6;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer;Feather Skypiercer
Ferocious clawkin;50;Gorc;6;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin;Ferocious clawkin
Fierce Skypiercer;50;Samael;6;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer;Fierce Skypiercer
Final Judgment;50;Samael;6;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment;Final Judgment
Fire Devil;50;Lich;6;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil;Fire Devil
Fire Fiend;50;Lich;6;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend;Fire Fiend
Fire Imp;50;Lich;6;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp;Fire Imp
Fire Spirit;50;Lich;6;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit;Fire Spirit
FireBomb Spirit;50;Lich;6;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit;FireBomb Spirit
Flame Spirit;50;Lich;6;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit;Flame Spirit
Flashbomb Spirit;50;Lich;6;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit;Flashbomb Spirit
Flicker Imp;50;Lich;6;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp;Flicker Imp
Flightmage squirrel;50;Gorc;6;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel;Flightmage squirrel
Flightwizard Squirrel;50;Gorc;6;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel;Flightwizard Squirrel
Flying Squirrel;50;Gorc;6;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel;Flying Squirrel
Forest Golem;50;Gorc;6;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem;Forest Golem
Forged Lava Slug;50;Lich;6;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug;Forged Lava Slug
Form of Clouds;50;Samael;6;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds;Form of Clouds
Fowl Drove;50;Samael;6;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove;Fowl Drove
Fowl Horde;50;Samael;6;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde;Fowl Horde
Fowl Swarm;50;Samael;6;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm;Fowl Swarm
Fox Charmer;50;Samael;6;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer;Fox Charmer
Fox Conjurer;50;Samael;6;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer;Fox Conjurer
Fox Trickster;50;Samael;6;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster;Fox Trickster
Frog Emperor;50;Gorc;6;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor;Frog Emperor
Frog outrunner;50;Gorc;6;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner;Frog outrunner
Frog Patrol;50;Gorc;6;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol;Frog Patrol
Frog Scout;50;Gorc;6;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout;Frog Scout
Frog Warmage;50;Gorc;6;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage;Frog Warmage
Froglet Warmage;50;Gorc;6;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage;Froglet Warmage
Frogling Army;50;Lich;6;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army;Frogling Army
Frogling Mob;50;Lich;6;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob;Frogling Mob
frogling Swarm;50;Lich;6;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm;frogling Swarm
Frost Frog;50;Samael;6;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog;Frost Frog
Frost Golem;50;Gorc;6;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem;Frost Golem
Frost wolf;50;Gorc;6;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf;Frost wolf
Frozen Frog;50;Samael;6;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog;Frozen Frog
Furnace Breaker;50;Lich;6;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker;Furnace Breaker
Furnace Mech;50;Lich;6;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech;Furnace Mech
Furnace Smasher;50;Lich;6;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher;Furnace Smasher
Garganotos;50;Gorc;6;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos;Garganotos
Genbu;50;Gorc;6;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu;Genbu
Genbu, the garrison;50;Gorc;6;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison;Genbu, the garrison
Genbu, the Stronghold;50;Gorc;6;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold;Genbu, the Stronghold
Giant Squid;50;Gorc;6;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid;Giant Squid
Glass Colossus;50;Samael;6;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus;Glass Colossus
Glass Goliath;50;Samael;6;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath;Glass Goliath
Glass Titan;50;Samael;6;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan;Glass Titan
Glod elemental;50;Gorc;6;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental;Glod elemental
Gloom elemental;50;Gorc;6;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental;Gloom elemental
Gloomkin;50;Lich;6;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin;Gloomkin
Glowfist Shaman;50;Gorc;6;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman;Glowfist Shaman
Goblin Band;50;Lich;6;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band;Goblin Band
Goblin Charlatan;50;Lich;6;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan;Goblin Charlatan
Goblin Crew;50;Lich;6;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew;Goblin Crew
Goblin Gang;50;Lich;6;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang;Goblin Gang
Goblin Rogue;50;Lich;6;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue;Goblin Rogue
Goblin Scoundrel;50;Lich;6;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel;Goblin Scoundrel
Gold Incarnate;50;Gorc;6;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate;Gold Incarnate
Grand Frog emperor;50;Gorc;6;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor;Grand Frog emperor
