Player	battles	wins	wins%	best%	worst%			
Dunetooth Demon	461	129	27,98%	0,00%	0,00%	8,387589839		
Shadow Assassin	461	129	27,98%	0,00%	0,00%	8,387589839		
Wind Soul	461	128	27,77%	0,00%	0,00%	8,269691936		
Flightmage squirrel	461	127	27,55%	0,00%	0,00%	8,147522049		
Soul Wisp	461	126	27,33%	0,00%	0,00%	8,026718268		
Acidic Spider	461	119	25,81%	0,00%	0,00%	7,228778616		
Diension Imp	461	119	25,81%	0,00%	0,00%	7,228778616		
Beetle Tamer	461	118	25,60%	0,00%	0,00%	7,123491721		
Fire Spirit	461	117	25,38%	0,00%	0,00%	7,014458088		
Moss Golem	461	117	25,38%	0,00%	0,00%	7,014458088		
Chaos Golem	461	114	24,73%	0,00%	0,00%	6,699807606		
Igneous elemental	461	113	24,51%	0,00%	0,00%	6,595819736		
Leavefall Fairy	461	113	24,51%	0,00%	0,00%	6,595819736		
Stormcloud Pegasus	461	113	24,51%	0,00%	0,00%	6,595819736		
Unearthed Brute	461	111	24,08%	0,00%	0,00%	6,396186683		
Wind Spirit	461	111	24,08%	0,00%	0,00%	6,396186683		
Windstorm elemental	461	111	24,08%	0,00%	0,00%	6,396186683		
Sky Knight	461	109	23,64%	0,00%	0,00%	6,196807247		
Lava Gripper	461	108	23,43%	0,00%	0,00%	6,103374775		
Windfrog	461	106	22,99%	0,00%	0,00%	5,911184893		
Cherub	461	105	22,78%	0,00%	0,00%	5,821147151		
Fox Charmer	461	105	22,78%	0,00%	0,00%	5,821147151		
Toad Metalwarrior	461	99	21,48%	0,00%	0,00%	5,287528054		
Dire Wolf	461	98	21,26%	0,00%	0,00%	5,201188616		
Kestral	461	94	20,39%	0,00%	0,00%	4,870676726		
Mermaid Sorceress	461	90	19,52%	0,00%	0,00%	4,557171008		
Skeleton Warlord	461	88	19,09%	0,00%	0,00%	4,408323922		
Wraith	461	87	18,87%	0,00%	0,00%	4,333699466		
Goblin Charlatan	461	82	17,79%	0,00%	0,00%	3,982027576		
Angler Fish	461	81	17,57%	0,00%	0,00%	3,913314888		
Wind Sprite	461	78	16,92%	0,00%	0,00%	3,715921277		
Spiked Rakken	461	76	16,49%	0,00%	0,00%	3,589866177		
Steam Tempest	461	76	16,49%	0,00%	0,00%	3,589866177		
Flying Squirrel	461	75	16,27%	0,00%	0,00%	3,526740269		
Fox Trickster	461	71	15,40%	0,00%	0,00%	3,285965351		
Angelic Knight	461	69	14,97%	0,00%	0,00%	3,172061643		
Lavamolten Elemental	461	62	13,45%	0,00%	0,00%	2,795273315		
Delusion Caster	461	55	11,93%	0,00%	0,00%	2,456526362		
Skeleton Swordsman	461	55	11,93%	0,00%	0,00%	2,456526362		
Mermaid Mage	461	53	11,50%	0,00%	0,00%	2,367197312		
Pegasus	461	53	11,50%	0,00%	0,00%	2,367197312		
Flicker Imp	461	50	10,85%	0,00%	0,00%	2,237360199		
Undead Brute	461	49	10,63%	0,00%	0,00%	2,194798618		
Toad Warrior	461	47	10,20%	0,00%	0,00%	2,113582145		
Woodland Fairy	461	47	10,20%	0,00%	0,00%	2,113582145		
Fire Fiend	461	46	9,98%	0,00%	0,00%	2,073022245		
Lava Pincer	461	41	8,89%	0,00%	0,00%	1,881658609		
Illusion caster	461	29	6,29%	0,00%	0,00%	1,484959553		
Smoldering Elemental	461	24	5,21%	0,00%	0,00%	1,342660233		
Horned Rakken	461	11	2,39%	0,00%	0,00%	1,025306298		
Flame Spirit	461	10	2,17%	0,00%	0,00%	1,00355584		
Phase Imp	461	6	1,30%	0,00%	0,00%	0,921439437		
Lava Crab	461	5	1,08%	0,00%	0,00%	0,901630051		
Skeleton Warrior	461	5	1,08%	0,00%	0,00%	0,901630051		
Goblin Scoundrel	461	1	0,22%	0,00%	0,00%	0,827728065		
Bomb Spirit	461	0	0,00%	0,00%	0,00%	0,809699423		
Fire Imp	461	0	0,00%	0,00%	0,00%	0,809699423		
FireBomb Spirit	461	0	0,00%	0,00%	0,00%	0,809699423		
Flashbomb Spirit	461	0	0,00%	0,00%	0,00%	0,809699423		
Goblin Rogue	461	0	0,00%	0,00%	0,00%	0,809699423		
