Id;Name;Rarity;Fuse;Level;Attack;Defense;Delay;Faction1;Faction2;Faction3;Skill1;Skill2;Skill3;Skill4;Skill5
240;Lavatail Dragon;Epic;Single;5;3;12;2;Chaos;Dragon;Premium;Hex,1;Scorch,1;Pierce,2;;
241;Leavefall Fairy;Common;Dual;3;2;8;0;Wyld;;Standard;;;;;
242;Life Dragon;Legendary;Single;6;4;18;4;Wyld;Dragon;Standard;Invisibility,2;Heal All Wyld,2;Siphon,4;;
243;Life Drake;Rare;Single;4;4;11;3;Wyld;Dragon;Premium;Heal Wyld,3;Siphon,3;;;
244;Lifeblood Drake;Rare;Quad;4;5;16;3;Wyld;Dragon;Premium;Heal Wyld,5;Siphon,5;;;
245;Lifelink Drake;Rare;Dual;4;4;14;3;Wyld;Dragon;Premium;Heal Wyld,4;Siphon,4;;;
246;Lightbound Archer;Epic;Single;5;2;12;2;Aether;Angel;Standard;Bolt,3;weaken,2;;;
247;Lightguard Archer;Epic;Quad;5;4;17;2;Aether;Angel;Standard;Bolt,4;Weaken,4;dualstrike,4;;
248;Lightning Baron;Epic;Dual;5;5;15;2;Aether;;Premium;Vengance,4;Bolt All,1;Dualstrike,4;;
249;Lightning Demigod;Epic;Quad;5;5;18;2;Aether;;Premium;Vengance,5;Bolt All,1;Dualstrike,3;;
250;Lightning Drake;Rare;Dual;4;3;11;2;Aether;Dragon;Premium;Barrier,4;Dualstrike,5;;;
251;Lightning Elemental;Rare;Single;4;1;8;2;Aether;Elemental;Standard;Bolt,4;;;;
252;Lightning Lord;Epic;Single;5;4;12;2;Aether;;Premium;Vengance,4;Bolt All,1;Dualstrike,5;;
253;Lightsworn Archer;Epic;Dual;5;4;14;2;Aether;Angel;Standard;Bolt,4;weaken,3;Dualstrike,6;;
254;Lilypad Leaper;Epic;Dual;5;2;12;1;Aether;Frog;Standard;Empower,5;Freeze,5;;;
255;Lumin Guardian;Epic;Quad;5;3;16;2;Aether;;Premium;Armor,4;Heal,4;bolt,5;;
256;Luminous Knight;Common;Quad;3;2;9;1;Aether;Angel;Standard;Armor,2;;;;
257;Lurking Dragon;Epic;Dual;5;3;14;2;Aether;Dragon;Premium;heal Aether,4;Dualstrike,3;;;
258;Magmatail Dragon;Epic;Dual;5;3;15;2;Chaos;Dragon;Premium;Hex,2;Scorch,2;Pierce,3;;
259;Majestic Guardian;Legendary;Dual;6;7;17;3;Aether;;Premium;Armoe,3;Vengance,4;Dualstrike,4;;
260;Marble Sphinx;Legendary;Dual;6;5;17;3;Aether;;Premium;Barrier,4;Barrier,4;;;
261;Marsh Ogre;Epic;Single;5;8;20;4;Chaos;;Premium;vengance,2;Fervor Chaos,2;Dualstrike,5;;
262;Master of Elements;Epic;Quad;5;5;18;2;Aether;;Standard;Empower All elemental,3;Barrier Elemenatl,3;Dualstrike,4;;
263;Mega Garganotos;Epic;Dual;5;5;12;2;Wyld;;Standard;Empower,4;Pierce,4;Poison,3;;
264;Mentor Tsunamari;Epic;Dual;5;4;11;1;Wyld;;Premium;Invisibility,2;heal,4;Freeze,4;;
265;Mercenary Ogre;Legendary;Quad;6;9;27;4;Chaos;;Premium;Vengance,5;Hex All,2;Pierce,4;;
266;Mermaid Battlemage;Common;Quad;3;2;10;2;Wyld;;Standard;heal,4;;;;
267;Mermaid Mage;Common;Single;3;1;6;2;Wyld;;Standard;Heal,2;;;;
268;Mermaid Sorceress;Common;Dual;3;1;9;2;Wyld;;Standard;Heal,3;;;;
269;Mighty Clawkin;Epic;Dual;5;6;13;2;Wyld;;Standard;Armor,1;Empower All Wyld,1;Pierce,5;;
270;Mire Ogre;Epic;Dual;5;8;24;4;Chaos;;Premium;Vengance,3;Fervor chaos,2;Dualstrike,4;;
271;Molten Skeleton;Rare;Single;4;3;6;1;Chaos;Undead;Standard;Bolt,2;Scorch,2;;;
272;Monstrous Squid;Epic;Quad;5;5;19;3;Wyld;;Standard;Hex,4;Freeze,3;Siphon,4;;
273;Moss Golem;Common;Single;3;2;5;1;Wyld;;Standard;Empower,1;;;;
274;Mountain dragon;Legendary;Quad;6;7;26;3;Wyld;Dragon;Premium;Barrier All Dragon,4;Hex,6;Siphon,6;;
275;Mountain Titan;Epic;Quad;5;8;24;4;Wyld;Elemental;Standard;Invisibility,2;Armor,3;Barrier All Wyld,2;;
276;Mounted Turtle;Common;Dual;3;4;15;4;Wyld;;Standard;Armor,1;;;;
277;Nix elemental;Rare;Single;4;4;9;3;Chaos;Elemental;Standard;Invisibility,1;Poison,2;Siphon,2;;
278;Nixfire Elemental;Rare;Dual;4;5;11;3;Chaos;Elemental;Standard;Invisibility,1;Poison,2;Siphon,4;;
279;Nixflame elemental;Rare;Quad;4;5;13;3;Chaos;Elemental;Standard;Invisibility,1;Poison,3;Siphon,5;;
280;Noxious Bullfrog;Epic;Quad;5;6;16;2;Chaos;Frog;Standard;Invisibility,1;Hex All,1;Poison,4;;
281;Obsidian Knight;Legendary;Quad;6;7;21;3;Chaos;Undead;Premium;Hex All,2;Pierce,5;Scorch,4;;
282;Obsidiantail Dragon;Epic;Quad;5;4;16;2;Chaos;Dragon;Premium;Hex,3;Scorch,3;Pierce,4;;
283;Olitusker;Epic;Dual;5;5;21;4;Wyld;;Standard;Barrier Wyld,4;empower All Wyld,2;;;
284;Onyx Kinght;Legendary;Dual;6;6;18;3;Chaos;Undead;Premium;Hex All,1;Pierce,5;Scorch,3;;
285;Opal Knight;Legendary;Quad;6;8;22;3;Aether;Angel;Premium;Armor,3;Empower Aether,5;Weaken All,3;;
286;Oracle;Rare;Single;4;2;7;1;Aether;;Standard;Heal Aether,2;Barrier Aether,1;;;
287;Orobas;Legendary;Single;6;5;17;3;Chaos;;Premium;Vengance,3;Bolt,3;Pierce,4;;
288;Orobas Ignited;Legendary;Dual;6;6;20;3;Chaos;;Premium;vengance,4;Bolt,4;Pierce,4;;
289;Orobas Unleashed;Legendary;Quad;6;6;23;3;Chaos;;Premium;Vengance,5;Bolt,5;Pierce,5;;
290;Paladin;Epic;Single;5;2;13;3;Aether;Angel;Standard;Heal Aether,2;Barrier All Aether,1;;;
291;Pegasus;Common;Single;3;1;6;0;Aether;;Standard;;;;;
292;Phase Imp;Common;Single;3;3;5;2;Chaos;;Standard;Poison,1;;;;
293;Piping Tempest;Rare;Dual;4;3;8;2;Aether;Elemental;Premium;Scorch,2;Weaken,2;;;
294;Plague Locust;Epic;Quad;5;4;16;1;Chaos;;Standard;Hex,2;Poison,2;Siphon,4;;
295;Platinum Armorer;Legendary;Dual;6;7;22;3;Aether;Elemental;Premium;Armor,3;Legion Aether,2;Legion Elemental,3;;
296;Platinum Champion;Legendary;Quad;6;8;25;3;Aether;Elemental;Premium;Armor,4;legion Aether,3;Legion Elemental,4;;
297;Platinum Golem;Legendary;Single;6;6;17;3;Aether;Elemental;Premium;Armor,2;Legion Aether,2;Legion elemental,2;;
298;Poison Bullfrog;Epic;Single;5;4;11;2;Chaos;Frog;Standard;Hex All,1;Poison,2;;;
299;Poliworg;Epic;Single;5;5;16;4;Aether;Frog;Premium;Armor,2;Heal All,2;Legion frog,2;;
300;Poliworg Barrage;Epic;Quad;5;6;23;4;Aether;Frog;Premium;Armor,3;Heal All,3;Legion Frog,5;;
301;Poliworg Blitz;Epic;Dual;5;6;19;4;Aether;Frog;Premium;Armor,3;Heal All,2;Legion Frog,4;;
302;Pondfist Shaman;Epic;Quad;5;3;16;1;Wyld;Frog;Premium;Heal frog,6;Pierce,7;Fervor frog,2;;
303;Purging Locust;Epic;Dual;5;3;13;1;Chaos;;Standard;Hex,2;Poison,2;Siphon,3;;
304;Purified Kestral;Common;Dual;3;3;8;2;Aether;;Standard;Barrier Aether,2;;;;
305;Queen of the Swamp;Legendary;Quad;6;6;19;2;Wyld;;Premium;Invisibility,2;Hex All,2;Poison,6;;
306;Radiance;Legendary;Single;6;4;12;2;Aether;Elemental;Premium;vengance,2;Barrier All elemental,1;Bolt,3;;
307;Radiant Paladin;Epic;Quad;5;5;21;3;Aether;Angel;Standard;Armor,3;Heal Aether,4;Barrier All Aether,2;;
308;Ranger;Rare;Single;4;3;6;1;Wyld;;Standard;Empower Wyld,1;Pierce,3;;;
309;Ravaging Dragon;Legendary;Quad;6;6;24;3;Chaos;Dragon;Premium;Weaken,5;Poison,6;Siphon,6;;
310;Redclaw Wraith;Rare;Dual;4;3;9;1;Chaos;Undead;Standard;Hex,1;Weaken,3;;;
311;Retribution Angel;Legendary;Dual;6;4;11;1;Aether;Angel;Standard;Vengance,4;Scorch,1;Dualstrike every,4;;
312;Rhino Beast;Legendary;Single;6;4;9;1;Wyld;;Premium;Armor,2;Empower,3;Pierce,3;;
313;rhino Brute;Legendary;Dual;6;5;12;1;Wyld;;Premium;Armor,2;Empower,3;Pierce,5;;
314;Rhino Savage;Legendary;Quad;6;6;14;1;Wyld;;Premium;Armor,3;Empower,4;Pierce,6;;
315;Rhythm of the Wyld;Legendary;Single;6;2;14;2;Wyld;;Standard;Heal All Wyld,1;Empower All Wyld,1;;;
316;Ribbit Wayfare;Epic;Quad;5;2;15;1;Aether;Frog;Standard;Empower,6;Freeze,4;;;
317;Risen Brute;Common;Quad;3;4;14;3;Chaos;Undead;Standard;Vengance,2;;;;
318;Rock Dragon;Legendary;Single;6;5;19;3;Wyld;Dragon;Premium;Barrier All Dragon,2;Hex,3;Siphon,3;;
319;Rock Titan;Epic;Single;5;7;15;4;Wyld;Elemental;Standard;Invisibility,1;Armor,2;Barrier All Wyld,1;;
320;Royal Guardian;Legendary;Single;6;5;16;3;Aether;;Premium;Armor,2;Vengance,2;Dualstrike,5;;
321;rune Panther;Rare;Single;4;4;9;3;Wyld;;Standard;Pierce,4;Freeze,5;;;
322;Runelock Panther;Rare;Quad;4;6;12;3;Wyld;;Standard;Invisibility,1;Pierce,5;Freeze,4;;
323;Runeplate Panther;Rare;Dual;4;5;11;3;Wyld;;Standard;Pierce,4;Freeze,4;;;
324;Rust Colossus;Legendary;Dual;6;7;15;2;Chaos;Elemental;Premium;Fervor elemental,2;Fervor Chaos,1;Siphon,3;;
325;Rust Goliath;Legendary;Single;6;5;12;2;Chaos;Elemental;Premium;Fervor Elemental,2;Fervor Chaos,1;Siphon,2;;
326;Rust Titan;Legendary;Quad;6;7;18;2;Chaos;Elemental;Premium;Fervor elemental,3;Fervor Chaos,2;Siphon,4;;
327;Sage of Croaks;Epic;Single;5;2;12;3;Wyld;Frog;Standard;Invisibility,2;Heal All Frog,2;Hex,1;;
328;Sage Tsunamari;Epic;Quad;5;5;15;1;Wyld;;Premium;Invisibility,2;Heal,5;Freeze,4;;
329;Sailing Drake;Epic;Single;5;2;8;1;Aether;Dragon;Premium;Barrier Dragon,2;bolt,2;;;
330;Sanguine Demon;Legendary;Quad;6;7;18;2;Chaos;;Standard;Weaken,4;Scorch,3;Siphon,5;;
331;Sapling;Epic;Single;5;2;15;3;Wyld;Elemental;Premium;Fervor elemental,2;Siphon,3;Weaken,2;;
332;Scalding Tempest;Rare;Quad;4;4;11;2;Aether;Elemental;Premium;Scorch,4;weaken,3;;;
333;Scorching drake;Rare;Quad;4;5;14;2;Chaos;Dragon;Premium;Bolt,4;Pierce,5;;;
334;Scythe Demon;Rare;Single;4;4;9;3;Chaos;;Standard;Vengance,2;Pierce,2;Siphon,2;;
335;Sea Serpent;Rare;Quad;4;3;11;1;Wyld;;Premium;Invisibility,2;Freeze,4;;;
336;Shade Assassin;Epic;Dual;5;4;2;0;Chaos;;Standard;Invisibility,2;Pierce,5;Poison,2;;
337;Shadow Assassin;Epic;Single;5;4;1;0;Chaos;;Standard;Invisibility,2;Pierce,3;;;
338;Shadow Elemental;Epic;Single;5;5;13;2;Wyld;Elemental;Premium;Invisibility,1;empower Elemental,4;Siphon,2;;
339;Shadow of Ash;Epic;Single;5;3;11;2;Chaos;Elemental;Premium;Fervor elemental,2;Bolt,2;;;
340;Shieldstone Druid;Rare;Dual;4;4;12;3;Wyld;;Standard;Heal All Wyld,2;Barrier Wyld,2;;;
341;Shining Radiance;Legendary;Dual;6;5;15;2;Aether;Elemental;Premium;vengance,3;Barrier All elemental,2;Bolt,4;;
342;Silver Wind;Epic;Single;5;2;11;2;Aether;Elemental;Premium;Heal Elemental,1;Legion Elemental,1;Dualstrike,6;;
343;Silver Wind Soul;Epic;Quad;5;3;18;2;Aether;Elemental;Premium;Heal All Elemental,2;Legion elemental,3;Dualstrike,4;;
344;Silver Wind Spirit;Epic;Dual;5;3;14;2;Aether;Elemental;Premium;Heal All elemental,1;Legion Elemental,2;Dualstrike,5;;
345;Siphon Dragon;Legendary;Single;6;6;12;3;Chaos;Dragon;Premium;Weaken,3;Poison,4;Siphon,3;;
346;Skeletal Giant;Epic;Single;5;4;13;3;Chaos;Undead;Premium;Vengance,3;Weaken,1;Poison,1;;
347;Skeletal Hound;Rare;Single;4;3;6;1;Chaos;Undead;Standard;Hex,2;Pierce,2;;;
348;Skeleton Swordsman;Common;Dual;3;3;5;0;Chaos;Undead;Standard;;;;;
349;Skeleton Warlord;Common;Quad;3;3;7;0;Chaos;Undead;Standard;Pierce,1;;;;
350;Skeleton Warrior;Common;Single;3;2;3;0;Chaos;;;;;;;
351;Sky Knight;Common;Dual;3;2;6;1;Aether;Angel;Standard;Armor,2;;;;
352;Sky Whale;Epic;Single;5;3;21;4;Aether;;Premium;Barrier All,2;Weaken,3;Weaken,3;;
353;Smelted Lava Slug;Rare;Single;4;3;13;4;Chaos;;Standard;Scorch,2;Siphon,2;;;
354;Smelted Skeleton;Rare;Quad;4;4;12;1;Chaos;Undead;Standard;Bolt,3;Scorch,2;;;
355;Smoldering Elemental;Common;Single;3;2;8;3;Chaos;Elemental;Standard;bolt,2;;;;
356;Soaring Whale;Epic;Dual;5;4;26;4;Aether;;Premium;Barrier All,3;Weaken,4;Weaken,4;;
357;Soul of Ash;Epic;Dual;5;4;13;2;Chaos;Elemental;Premium;Fervor elemental,3;Bolt,2;Scorch,1;;
358;Soul Wisp;Common;Single;3;1;6;1;Aether;;Standard;Empower,2;;;;
359;Spearhunter Griffin;Epic;Dual;5;3;10;1;Aether;;Standard;Armor,3;Vengance,3;Dualstrike every,4;;
360;Specter of Sap;Epic;Quad;5;2;22;3;Wyld;Elemental;Premium;fervor elemental,4;Siphon,7;weaken,4;;
361;Spiked Rakken;Common;Dual;3;3;7;1;Chaos;;Standard;Weaken,2;;;;
362;Spire Spirit;Epic;Dual;5;4;13;2;Aether;;Premium;Barrier Aether,3;Bolt,2;Dualstrike,5;;
363;Spirit Kestral;Common;Quad;3;3;10;2;Aether;;Standard;Vengance,1;Barrier Aether,2;;;
364;Spirit of Dementia;Legendary;Dual;6;5;12;1;Chaos;;Premium;Invisibility,2;Hex,3;Siphon,4;;
365;Spirit of Insanity;Legendary;Quad;6;5;15;1;Chaos;;Premium;Invisibility,2;Hex,6;Siphon,4;;
366;Spirit of Madness;Legendary;Single;6;3;7;1;Chaos;;Premium;Invisibility,1;Hex,2;Siphon,2;;
367;Spirit of Sap;Epic;Dual;5;2;18;3;Wyld;Elemental;Premium;Fervor elemental,3;Siphon,5;weaken,3;;
368;Stalker Frog;Epic;Dual;5;6;16;3;Wyld;Frog;Premium;Heal All Frog,2;Fervor Wyld,2;Freeze,4;;
369;Static Drake;Rare;Single;4;3;9;2;Aether;Dragon;Premium;Barrier,3;Dualstrike,6;;;
370;Steam Tempest;Rare;Single;4;2;5;2;Aether;Elemental;Premium;Scorch,1;Weaken,1;;;
371;Steel Eagle;Rare;Quad;4;4;13;2;Aether;;Standard;Armor,3;DualStrike every,4;;;
372;Stone Titan;Epic;Dual;5;8;19;4;Wyld;Elemental;Standard;Invisibility,1;Armor,3;Barrier All Wyld,1;;
373;Storm Giant;Epic;Single;5;5;19;4;Aether;;Premium;Vengance,3;Barrier Aether,3;Weaken,3;;
374;Stormcleaver Dragon;Legendary;Quad;6;7;25;4;Aether;Dragon;Standard;Armor,4;Barrier All Aether,2;Dualstrike,2;;
375;Stormcloud Pegasus;Common;Dual;3;2;8;0;Aether;;Standard;;;;;
376;Stormspawn Dragon;Legendary;Dual;6;6;22;4;Aether;Dragon;Standard;Armoer,3;barrier All Aether,1;Dualstrike,3;;
377;Strom Dragon;Legendary;Single;6;4;17;4;Aether;Dragon;Standard;Armor,3;Barrier All Aether,1;Dualstrike,4;;
378;Supreme frog Emperor;Legendary;Quad;6;7;17;2;Wyld;Frog;Premium;Armor,4;Barrier Frog,5;Empower All Frog,3;;
379;Supreme Knight Frog;Legendary;Quad;6;7;16;1;Aether;Frog;Premium;Armor,3;Legion Aether,2;Bolt,2;;
380;Swamp Ogre;Epic;Quad;5;9;29;4;Chaos;;Premium;Vengance,4;Fervor Chaos,3;Dualstrike,4;;
381;Swift Raptor;Legendary;Quad;6;5;16;1;Aether;;Premium;Armor,3;Empower,4;Dualstrike,5;;
382;Swiftfoot Ranger;Rare;Dual;4;4;8;1;Wyld;;Standard;empower Wyld,2;Pierce,3;;;
383;Tadpole Warmage;Epic;Single;5;4;10;2;Wyld;Frog;Premium;Armor,1;Fervor Frog,1;;;
384;Tar Pit Shambler;Rare;Dual;4;3;8;1;Chaos;Elemental;Premium;Fervor Elemental,1;Siphon,3;;;
385;Tar Pit Stalker;Rare;Single;4;2;5;1;Chaos;Elemental;Premium;Fervor elemental,1;Siphon,2;;;
386;Tar Pit Swallower;Rare;Quad;4;3;11;1;Chaos;Elemental;Premium;fervor elemental,2;Siphon,3;;;
387;Thorned Rakken;Common;Quad;3;3;9;1;Chaos;;Standard;Weaken,2;Siphon,2;;;
388;Thousand Arm Demon;Legendary;Single;6;4;8;1;Chaos;;Premium;Vengance,2;dualstrike,5;Siphon,2;;
389;Thousand Arm Fiend;Legendary;Dual;6;5;11;1;Chaos;;Premium;Vengance,3;Dualstrike,4;Siphon,2;;
390;Thousand arm Hellion;Legendary;Quad;6;5;14;1;Chaos;;Premium;Vengance,4;dualstrike,3;Siphon,3;;
391;Thunder Drake;Rare;Quad;4;4;13;2;Aether;Dragon;Premium;Barrier,4;Dualstrike,4;;;
392;Thunder Elemental;Rare;Dual;4;2;11;2;Aether;Elemental;Standard;Bolt,4;;;;
393;Thunderhead Giant;Epic;Dual;5;6;25;4;Aether;;Premium;Vengance,3;Barrier Aether,4;Weaken,4;;
394;Tide elemental;Rare;Quad;4;4;16;4;Wyld;Elemental;Standard;Heal wyld,4;Empower Wyld,3;Siphon,4;;
395;Titan of Fire;Epic;Single;5;3;15;3;Chaos;;Standard;Bolt All,1;Scorch,3;;;
396;Titan of Inferno;Epic;Quad;5;7;18;3;Chaos;;Standard;Vengance,4;Bolt All,1;Scorch,3;;
397;Titan of Scorch;Epic;Dual;5;5;17;3;Chaos;;Standard;Vengance,2;Bolt All,1;Scorch,3;;
398;Toad Metalwarrior;Common;Dual;3;4;4;2;Wyld;Frog;Standard;Armor,2;;;;
399;Toad Steelwarrior;Common;Quad;3;5;5;2;Wyld;Frog;Standard;Armor,2;Empower,1;;;
400;Toad Warrior;Common;Single;3;4;2;2;;Frog;Standard;Armor,1;;;;
401;Tormented Giant;Epic;Dual;5;5;16;3;Chaos;Undead;Premium;Vengance,4;Weaken All,1;Poison,2;;
402;Tornado Elemental;Common;Dual;3;2;9;2;Aether;Elemental;Standard;Vengance,2;Bolt,1;;;
403;Tower Spirit;Epic;Single;5;4;10;2;Aether;;Premium;Barrier Aether,2;bolt,2;Dualstrike,6;;
404;Toxichive Dragon;Epic;Dual;5;6;15;2;Wyld;Dragon;Premium;Heal Dragon,4;Freeze,5;Poison,3;;
405;Toxin Bullfrog;Epic;Dual;5;5;13;2;Chaos;Frog;Standard;Invisibility,1;Hex All,1;Poison,3;;
406;Trapper Frog;Epic;Single;5;5;13;3;Wyld;Frog;Premium;Heal All Frog,1;Fervor Wyld,2;Freeze,5;;
407;Treant Dictate;Legendary;Quad;6;5;24;3;Wyld;;Premium;Heal All,3;Freeze,3;Siphon,5;;
408;Treant Edict;Legendary;Dual;6;4;16;3;Wyld;;Premium;Heal All,2;Freeze,4;Siphon,3;;
409;Treant King;Legendary;Single;6;4;16;3;Wyld;;Premium;Heal All,2;Freeze,5;Siphon,3;;
410;Treant Sapling;Rare;Single;4;2;9;3;Wyld;;Premium;Hex,1;Siphon,3;;;
411;Treefist Sapling;Rare;Quad;4;4;13;3;Wyld;;Premium;Hex,2;Siphon,4;;;
412;Treepalm Sapling;Rare;Dual;4;3;11;3;Wyld;;Premium;Hex,2;Siphon,3;;;
413;Tsunamari;Epic;Single;5;3;9;1;Wyld;;Premium;invisibility,1;Heal,3;Freeze,4;;
414;Turtle Tamer;Common;Single;3;4;13;4;Wyld;;Standard;;;;;
415;Tusker;Epic;Single;5;4;18;4;Wyld;;Standard;Barrier Wyld,2;Empower All Wyld,2;;;
416;Twilight Mirror;Legendary;Single;6;2;16;3;Aether;;Premium;Vengance,6;Heal All Aether,2;;;
417;Twilight Reflector;Legendary;Dual;6;3;19;3;Aether;;Premium;Armor,1;Vengance,7;Heal all Aether,2;;
418;Twilight Specular;Legendary;Quad;6;4;21;3;Aether;;Premium;Armor,2;Vengance,8;Heal All Aether,3;;
419;Undead Brute;Common;Single;3;3;10;3;Chaos;Undead;Standard;Vengance,1;;;;
420;Underwater Clobberer;Legendary;Quad;6;5;25;3;Chaos;Frog;Premium;Invisibility,2;Legion Chaos,4;Fervor Chaos,4;;
421;Underwater Lasher;Legendary;Single;6;4;16;3;Chaos;Frog;Premium;Invisibility,1;Legion Chaos,2;Fervor Chaos,3;;
422;Underwater Wallop;Legendary;Dual;6;5;20;3;Chaos;Frog;Premium;Invisibility,2;Legion Chaos,3;Fervor Chaos,3;;
423;Unearthed Brute;Common;Dual;3;4;12;3;Chaos;Undead;Standard;Vengance,1;;;;
424;Velied Dragon;Epic;Quad;5;4;17;2;Aether;Dragon;Premium;Heal Aether,5;Dualstrike,2;;;
425;Veteran Cherub;Rare;Dual;4;2;13;2;Aether;Angel;Standard;weaken,3;;;;
426;Vindication Angel;Legendary;Quad;6;5;14;1;Aether;Angel;Standard;Vengance,5;Scorch,2;Dualstrike every,3;;
427;Vivid Aurora;Legendary;Single;6;4;12;2;Aether;Elemental;Premium;bolt,1;Bolt,3;scorch,2;;
428;Wartorn Cherub;Rare;Quad;4;3;15;2;Aether;Angel;Standard;Weaken,4;;;;
429;Wartusker;Epic;Quad;5;6;26;4;Wyld;;Standard;Barrier Wyld,4;Empower All Wyld,3;;;
430;Wasteland Nomad;Epic;Single;5;4;8;1;Wyld;;Premium;Pierce,2;Siphon,2;;;
431;Wasteland Wanderer;Epic;Dual;5;5;10;1;Wyld;;Premium;Pierce,3;Siphon,3;;;
432;Wasteland Warrior;Epic;Quad;5;6;12;1;Wyld;;Premium;Pierce,4;Siphon,4;;;
433;Water Elemental;Rare;Single;4;3;12;4;Wyld;Elemental;Standard;Heal Wyld,3;Empower Wyld,2;Siphon,2;;
434;Water Serpent;Rare;Single;4;1;7;1;Wyld;;Premium;Invisibility,1;Freeze,5;;;
435;Wave Elemental;Rare;Dual;4;4;13;4;Wyld;Elemental;Standard;Heal Wyld,3;Empower Wyld,3;Siphon,3;;
436;Webfist Shaman;Epic;Single;5;3;11;3;Wyld;Frog;Premium;Heal Frog,3;Pierce,4;Fervor Frog,1;;
437;Webfoot Marauder;Rare;Quad;4;2;12;1;Aether;Frog;Premium;Invisibility,1;Bolt,2;Bolt,3;;
438;Webfoot Raider;Rare;Single;4;1;8;1;Aether;Frog;Premium;Bolt,1;bolt,2;;;
439;Werewarg;Rare;Single;4;5;10;4;Wyld;;Standard;Armor,2;Empower All Wyld,1;Pierce,3;;
440;Werewarg Alpha;Rare;Quad;4;5;16;4;Wyld;;Standard;Armor,2;Empower All Wyld,2;Pierce,4;;
441;Werewarg Hunter;Rare;Dual;4;5;13;4;Wyld;;Standard;Armor,2;Empower All Wyld,1;Pierce,4;;
442;Wevfoot Bombardier;Rare;Dual;4;2;10;1;Aether;Frog;Premium;Bolt,2 ;bolt,2;;;
443;White Knight;Legendary;Single;6;6;15;3;Aether;Angel;Premium;Armor,3;Empower Aether,3;Weaken All,2;;
444;Wind Soul;Common;Quad;3;3;12;3;Aether;;Standard;Weaken,3;;;;
445;Wind Spirit;Common;Dual;3;3;10;3;Aether;;Standard;Weaken,2;;;;
446;Wind Sprite;Common;Single;3;3;7;3;Aether;;Standard;weaken,2;;;;
447;Windfrog;Rare;Single;4;2;5;1;Aether;Frog;Standard;Armor,1;Barrier frog,2;;;
448;Windfrog Aloft;Rare;Quad;4;3;11;1;Aether;Frog;Standard;Armor,1;Barrier frog,3;;;
449;Windfrog Gale;Rare;Dual;4;3;8;1;Aether;Frog;Standard;Armor,1;Barrier frog,2;;;
450;Windsear Drake;Epic;Dual;5;3;12;1;Aether;Dragon;Premium;Barrier Dragon,2;Bolt,3;;;
451;Windstorm elemental;Common;Single;3;2;8;2;Aether;Elemental;Standard;Vengance,1;;;;
452;Windtempest Giant;Epic;Quad;5;7;30;4;Aether;;Premium;Vengance,4;Barrier Aether,5;weaken,5;;
453;Winged Raptor;Legendary;Single;6;3;8;1;Aether;;Premium;Armor,2;Empower,3;DualStrike,6;;
454;Winter Wolf;Common;Quad;3;4;12;3;Wyld;;Standard;Pierce,4;;;;
455;Wizen Sage of Croaks;Epic;Dual;5;3;15;3;Wyld;Frog;Standard;Invisibility,2;Heal All Frog,2;Hex All,1;;
456;Wolf Girl;Epic;Single;5;4;9;1;Wyld;;Premium;Hex,3;Pierce,3;;;
457;Wolf Matriarch;Epic;Dual;5;4;13;1;Wyld;;Premium;Invisibility,1;Hex,3;Pierce,4;;
458;Wolf Queen;Epic;Quad;5;5;16;1;Wyld;;Premium;Invisibility,1;Hex,4;Pierce,5;;
459;Woodland Fairy;Common;Single;3;1;6;0;Wyld;;Standard;;;;;
460;Wraith;Rare;Single;4;3;6;1;Chaos;Undead;Standard;Hex,1;Weaken,2;;;
461;Zhulong;Legendary;Single;6;5;13;2;Chaos;Dragon;Premium;Scorch,2;Dualstrike,5;;;
462;Zhulong the Cunning;Legendary;Dual;6;6;16;2;Chaos;Dragon;Premium;Invisibility,1;Scorch,2;Dualstrike,4;;
463;Zhulong the Wise;Legendary;Quad;6;7;18;2;Chaos;Dragon;Premium;Invisibility,2;Scorch,3;dualStrike,4;;
-10;BarrierTest;Common;Single;3;1;1;0;Aether;;Standard;Barrier,1;;;;
-20;EmpowerTest;Common;Single;3;1;1;0;Wyld;;Standard;Empower,1;;;;
